-	16777216	16777216	12726048	202.427690
A	16777216	16777216	12726048	201.279654
B	16777216	13567821	12726048	162.849532
C	16777216	5592409		3267804		67.141073
A+B	16777216	13567821	12726048	162.983248
A+C	16777216	5592409		3267804		67.338087
C+B	16777216	3662614		3267804		43.812821
A+B+C	16777216	3662614		3267804		43.829273
