-    27	    27	8	0.83
A    27	    27	8	0.75
B    27	    14	8	0.52
C    27	    27	9	0.84
A+B    27	    14	8	0.54
A+C    27	    27	9	0.85
B+C    27	    16	9	0.59
A+B+C    27	    16	9	0.59
