 -		  4096	  4096	1198	0.019064
 -		  4096	  4096	1198	0.019064
 A		  4096	  4096	1198	0.019194
 B		  4096	  1338	1198	0.007651
 C		  4096	  2733	274	0.012795
 A+B		  4096	  1338	1198	0.007503
 A+C		  4096	  2733	274	0.011321
 B+C		  4096	   346	274	0.002741
 A+B+C		  4096	   346	274	0.001912

